City Group,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,revenue,Sale Day,Sale Year,Sale Month
Other,IL,4.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,15.177482769114041,8,1996,5
Big Cities,IL,12.0,8.0,6.0,8.0,2.0,8.0,10.0,8.0,8.0,8.0,10.0,6.0,6.0,15.0,8.0,12.0,6.0,9.0,25.0,15.0,9.0,5.0,15.0,6.0,10.0,10.0,5.0,12.0,2.0,25.0,15.0,25.0,6.0,18.0,3.0,16.0,6.0,15.27101516694316,10,1997,4
Big Cities,IL,4.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,15.364337373490478,28,1998,1
Big Cities,IL,4.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,15.146353253802271,14,1998,3
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,8.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,15.0,10.0,15.0,15.0,12.0,10.0,9.0,6.0,3.0,5.0,10.0,10.0,12.0,5.0,5.0,8.0,20.0,15.0,25.0,4.0,24.0,15.0,20.0,6.0,14.75209516899967,13,1998,7
Big Cities,IL,2.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,15.601619761127877,12,1998,8
Other,IL,2.0,4.0,5.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,7.0,4.0,2.0,3.0,11.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,15.352779202358168,5,1999,6
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,1.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,15.547830307268965,17,1999,7
Other,FC,4.0,5.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,9.0,2.0,4.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,4.0,3.0,1.0,10.0,11.0,2.0,6.0,4.0,6.0,2.0,15.508421043200087,9,1999,10
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,3.0,16.42375699823255,18,1999,12
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,2.0,3.0,9.0,2.0,1.0,4.0,1.0,1.0,1.0,6.0,5.0,5.0,5.0,2.0,2.0,8.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,16.795973851694033,7,2000,1
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,7.0,4.0,4.0,2.0,5.0,3.0,15.829759097714035,7,2000,1
Big Cities,FC,12.0,8.0,8.0,6.0,2.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,8.0,5.0,9.0,11.0,3.0,9.0,25.0,15.0,6.0,3.0,25.0,7.0,6.0,9.0,1.0,10.0,8.0,16.0,9.0,15.0,3.0,17.0,13.0,12.0,2.0,15.729845413024448,1,2002,11
Big Cities,FC,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,7.0,6.0,3.0,4.0,5.0,1.0,2.0,1.0,6.0,3.0,5.0,4.0,3.0,2.0,8.0,3.0,7.0,3.0,5.0,4.0,7.0,3.0,14.978542610718616,6,2002,11
